"Area","SiteName","Fraction","Horizon","mean","se","Accumulation"
"Acidic","Dry","FefracDHFe","Organic",1.03074074074074,0.130953633979361,1.03074074074074
"Acidic","Dry","FefracHHFe","Organic",0.374703703703704,0.0330536154633484,1.40544444444444
"Acidic","Dry","FefracPPFe","Organic",8.48577777777778,1.70614552409304,9.89122222222222
"Acidic","Mesic","FefracDHFe","Organic",1.51222222222222,0.469866842182672,1.51222222222222
"Acidic","Mesic","FefracHHFe","Organic",0.489833333333333,0.12882298362913,2.00205555555556
"Acidic","Mesic","FefracPPFe","Organic",3.95461111111111,1.31616705968974,5.95666666666667
"Acidic","Hydric","FefracDHFe","Organic",3.02155555555556,0.741783039143181,3.02155555555556
"Acidic","Hydric","FefracHHFe","Organic",0.33512962962963,0.104658556309454,3.35668518518519
"Acidic","Hydric","FefracPPFe","Organic",18.7854074074074,3.89382298052121,22.1420925925926
"Non-acidic","Dry","FefracDHFe","Organic",3.12179166666667,2.08903550781852,3.12179166666667
"Non-acidic","Dry","FefracHHFe","Organic",0.487083333333333,0.0612718943699519,3.608875
"Non-acidic","Dry","FefracPPFe","Organic",4.84029166666667,1.62981411131773,8.44916666666667
"Non-acidic","Mesic","FefracDHFe","Organic",2.79244444444444,1.38492186012135,2.79244444444444
"Non-acidic","Mesic","FefracHHFe","Organic",0.585,0.0549080038690981,3.37744444444444
"Non-acidic","Mesic","FefracPPFe","Organic",5.57055555555556,2.50862966195973,8.948
"Non-acidic","Hydric","FefracDHFe","Organic",0.726037037037037,0.127993084839783,0.726037037037037
"Non-acidic","Hydric","FefracHHFe","Organic",0.6245,0.0532821224042477,1.35053703703704
"Non-acidic","Hydric","FefracPPFe","Organic",3.00662962962963,0.632668777668015,4.35716666666667
