"Area","SiteName","Fraction","Horizon","mean","se","Accumulation"
"Acidic","Dry","PfracBDSRP","Organic",19.406037037037,2.91117385664168,90.1622222222222
"Acidic","Dry","PfracH2OSRP","Organic",6.66268518518519,4.214092955621,96.8249074074074
"Acidic","Dry","PfracHClP","Organic",7.70183333333333,1.39930126688066,7.70183333333333
"Acidic","Dry","PfracNaOHSRP","Organic",63.0543518518519,7.03744670058783,70.7561851851852
"Acidic","Mesic","PfracBDSRP","Organic",29.9593333333333,5.16688435885474,106.041166666667
"Acidic","Mesic","PfracH2OSRP","Organic",10.3483333333333,4.33252897406481,116.3895
"Acidic","Mesic","PfracHClP","Organic",10.8303333333333,2.25872101961363,10.8303333333333
"Acidic","Mesic","PfracNaOHSRP","Organic",65.2515,8.52492572694918,76.0818333333333
"Acidic","Hydric","PfracBDSRP","Organic",28.6228148148148,5.88125655983185,121.354740740741
"Acidic","Hydric","PfracH2OSRP","Organic",2.74940740740741,0.975551945351738,124.104148148148
"Acidic","Hydric","PfracHClP","Organic",10.1534814814815,1.85105082860953,10.1534814814815
"Acidic","Hydric","PfracNaOHSRP","Organic",82.5784444444444,4.29149475779394,92.7319259259259
"Non-acidic","Dry","PfracBDSRP","Organic",25.298875,3.30037143709126,104.6645
"Non-acidic","Dry","PfracH2OSRP","Organic",8.53075,4.78466523216918,113.19525
"Non-acidic","Dry","PfracHClP","Organic",37.413375,4.88802497705763,37.413375
"Non-acidic","Dry","PfracNaOHSRP","Organic",41.95225,4.06601986745023,79.365625
"Non-acidic","Mesic","PfracBDSRP","Organic",33.5016666666667,5.55253383100404,105.299
"Non-acidic","Mesic","PfracH2OSRP","Organic",10.2253333333333,4.53298624590408,115.524333333333
"Non-acidic","Mesic","PfracHClP","Organic",16.9423333333333,1.95180411556989,16.9423333333333
"Non-acidic","Mesic","PfracNaOHSRP","Organic",54.855,4.60485220838966,71.7973333333333
"Non-acidic","Hydric","PfracBDSRP","Organic",24.7693333333333,4.90436415191286,98.9082592592593
"Non-acidic","Hydric","PfracH2OSRP","Organic",1.32151851851852,0.211086461361443,100.229777777778
"Non-acidic","Hydric","PfracHClP","Organic",35.2373703703704,4.52574592837047,35.2373703703704
"Non-acidic","Hydric","PfracNaOHSRP","Organic",38.9015555555556,4.28806902245731,74.1389259259259
