"Area","SiteName","Fraction","Horizon","mean","se","Accumulation","mineral"
"Acidic","Dry","PfracBDFe","Organic",5.26648148148148,1.43630157033968,24.2301851851852,"Fe"
"Acidic","Dry","PfracHClCa","Organic",0.927314814814815,0.098514508411842,5.0282037037037,"Ca"
"Acidic","Dry","PfracNaOHAl","Organic",1.98092592592593,0.282082953267307,33.4757962962963,"Al"
"Acidic","Dry","ResAl","Organic",31.4948703703704,3.50952180294159,31.4948703703704,"Al"
"Acidic","Dry","ResCa","Organic",4.10088888888889,0.651667619232988,4.10088888888889,"Ca"
"Acidic","Dry","ResFe","Organic",18.9637037037037,2.03990451728588,18.9637037037037,"Fe"
"Acidic","Mesic","PfracBDFe","Organic",2.33066666666667,0.695687557584422,10.6441666666667,"Fe"
"Acidic","Mesic","PfracHClCa","Organic",1.23083333333333,0.12299767387141,3.875,"Ca"
"Acidic","Mesic","PfracNaOHAl","Organic",0.872666666666667,0.168914508290766,11.0805,"Al"
"Acidic","Mesic","ResAl","Organic",10.2078333333333,3.30831981945183,10.2078333333333,"Al"
"Acidic","Mesic","ResCa","Organic",2.64416666666667,0.410800796547967,2.64416666666667,"Ca"
"Acidic","Mesic","ResFe","Organic",8.3135,3.12022287398406,8.3135,"Fe"
"Acidic","Hydric","PfracBDFe","Organic",16.0751481481481,1.90359677760311,45.9565185185185,"Fe"
"Acidic","Hydric","PfracHClCa","Organic",0.57637037037037,0.0618950087849,3.37803703703704,"Ca"
"Acidic","Hydric","PfracNaOHAl","Organic",2.60040740740741,0.392459468607032,24.6938888888889,"Al"
"Acidic","Hydric","ResAl","Organic",22.0934814814815,3.92587946076626,22.0934814814815,"Al"
"Acidic","Hydric","ResCa","Organic",2.80166666666667,0.256599762805044,2.80166666666667,"Ca"
"Acidic","Hydric","ResFe","Organic",29.8813703703704,5.95434268315225,29.8813703703704,"Fe"
"Non-acidic","Dry","PfracBDFe","Organic",7.7765,2.77685147372755,42.741125,"Fe"
"Non-acidic","Dry","PfracHClCa","Organic",2.37375,0.306882990149107,11.499625,"Ca"
"Non-acidic","Dry","PfracNaOHAl","Organic",1.13425,0.168063630594401,26.418125,"Al"
"Non-acidic","Dry","ResAl","Organic",25.283875,2.91755938510684,25.283875,"Al"
"Non-acidic","Dry","ResCa","Organic",9.125875,0.660988638261441,9.125875,"Ca"
"Non-acidic","Dry","ResFe","Organic",34.964625,10.0069866074685,34.964625,"Fe"
"Non-acidic","Mesic","PfracBDFe","Organic",4.17655555555556,1.79972539657761,13.6027777777778,"Fe"
"Non-acidic","Mesic","PfracHClCa","Organic",4.94,0.932672027623382,11.763,"Ca"
"Non-acidic","Mesic","PfracNaOHAl","Organic",1.211,0.27037037354135,6.80533333333333,"Al"
"Non-acidic","Mesic","ResAl","Organic",5.59433333333333,0.926442239010194,5.59433333333333,"Al"
"Non-acidic","Mesic","ResCa","Organic",6.823,1.00905964199898,6.823,"Ca"
"Non-acidic","Mesic","ResFe","Organic",9.42622222222222,3.67361484015774,9.42622222222222,"Fe"
"Non-acidic","Hydric","PfracBDFe","Organic",3.76274074074074,1.65367339765271,17.4001481481481,"Fe"
"Non-acidic","Hydric","PfracHClCa","Organic",3.75518518518518,0.390082118258336,11.1317407407407,"Ca"
"Non-acidic","Hydric","PfracNaOHAl","Organic",0.830259259259259,0.0946946974961219,7.5282962962963,"Al"
"Non-acidic","Hydric","ResAl","Organic",6.69803703703704,0.332019403179681,6.69803703703704,"Al"
"Non-acidic","Hydric","ResCa","Organic",7.37655555555556,0.515465177063817,7.37655555555556,"Ca"
"Non-acidic","Hydric","ResFe","Organic",13.6374074074074,3.41004665610971,13.6374074074074,"Fe"
