"SampleEvent","Area","SiteName","treatment","PlotNumber","Horizon","PfracPSI","pH","LOI","moisture","C%","N%","CN_ratio","PfracBDFe","PfracBDNRP","PfracBDSRP","PfracH2ONRP","PfracH2OSRP","PfracHClCa","PfracHClP","PfracNaOHAl","PfracNaOHNRP","PfracNaOHSRP","PfracNRP","PfracRP","PfracTotAl","PfracTotCa","PfracTotFe","PfracTotP","ResP","FefracDHFe","FefracHHFe","FefracPPFe","ResFe"
"Mid Season","Acidic","Dry","Acidic Dry",1,"Organic",48.203,4.3,61.01,72.26,30.36,1.73,20.45,4.16966666666667,31.431,9.51533333333333,1.86133333333333,1.59333333333333,0.886,9.09566666666667,2.448,688.012666666667,68.5416666666667,721.305,88.746,50.8593333333333,6.096,28.107,1629.73333333333,819.682333333333,0.963,0.349,10.858,15.937
"Mid Season","Acidic","Dry","Acidic Dry",2,"Organic",65.7,4.8,78.28,77.43,40.02,1.17,39.9,2.521,22.167,30.899,7.67,6.443,1.368,7.534,1.868,392.947,56.688,422.784,101.564,19.725,5.838,10.823,741.805,217.457,1.147,0.523,3.16,5.993
"Mid Season","Acidic","Dry","Acidic Dry",3,"Organic",30.0336666666667,4.7,43.59,70.1,24.86,1.12,25.9,0.89,13.915,27.301,7.028,39.954,0.848,3.401,0.43,246.45,24.322,267.393,94.978,40.375,3.226,27.137,839.003,476.632,1.455,0.361,2.231,23.09
"Mid Season","Acidic","Hydric","Acidic Hydric",1,"Organic",90.268,4.6,76.79,75.31,35,1.94,21.12,18.0216666666667,193.078666666667,41.3643333333333,2.57766666666667,1.43333333333333,0.372,6.87133333333333,2.37566666666667,819.804333333333,75.044,1015.46066666667,124.713,13.8243333333333,2.17566666666667,42.1163333333333,1485.12566666667,344.952,2.313,0.796333333333333,24.8543333333333,14.1526666666667
"Mid Season","Acidic","Hydric","Acidic Hydric",2,"Organic",108.508,5.6,52.01,71.19,24.01,1.62,17.35,24.5733333333333,78.3023333333333,17.4696666666667,1.79833333333333,0.56,0.532333333333333,9.13666666666667,3.09966666666667,691.559333333333,62.212,771.66,89.3783333333333,27.537,2.49166666666667,88.1583333333333,1271.94966666667,410.911333333333,1.71433333333333,0.130666666666667,41.3953333333333,44.918
"Mid Season","Acidic","Hydric","Acidic Hydric",3,"Organic",89.9533333333333,5.5,55.23,74.24,25.19,1.55,18.98,18.89,120.918333333333,26.0473333333333,2.95033333333333,1.273,0.809666666666667,21.387,3.59866666666667,748.932666666667,76.6183333333333,872.801333333333,125.325666666667,30.699,4.75166666666667,52.2393333333333,1136.095,137.968,1.92633333333333,0.1685,16.362,33.8095
"Mid Season","Acidic","Mesic","Acidic Mesic",1,"Organic",48.658,4.3,88.89,73.78,44.34,1.32,39.17,0.583,46.946,22.461,4.706,2.821,1.376,7.351,0.431,364.102,70.447,415.754,103.08,4.51,3.087,3.706,759.961,241.127,0.373,0.289,1.209,1.835
"Mid Season","Acidic","Mesic","Acidic Mesic",3,"Organic",14.71,5.1,85.33,78.16,41.72,0.88,55.31,1.48,59.51,39.61,6.734,13.135,1.554,10.918,0.839,477.649,70.339,543.893,134.002,5.172,4.195,4.325,759.903,82.008,0.877333333333333,0.603,2.25266666666667,0.592
"Late Season","Acidic","Dry","Acidic Dry",1,"Organic",30.18,5.7,64.58,72.97,32.35,1.66,22.71,3.66,26.685,11.173,0,3.113,0.986,6.401,2.562,770.755,51.549,797.44,72.236,29.801,7.302,19.659,1447.238,577.562,0.409666666666667,0.496333333333333,4.31,14.4433333333333
"Late Season","Acidic","Dry","Acidic Dry",2,"Organic",34.73,5,53.51,68.7,25.49,1.51,19.62,9.401,20.34,12.122,1.031,1.1815,1.3805,18.0935,2.666,830.8045,85.7555,852.1755,117.1525,46.178,8.067,28.482,1493.177,523.849,0.37,0.389,6.056,21.667
"Late Season","Acidic","Dry","Acidic Dry",3,"Organic",62.421,5.6,48.88,70.96,23.88,1.22,22.92,2.951,38.434,21.554,1.725,0.974,0.566,6.767,0.977,363.498,54.057,403.657,83.352,29.635,1.83,28.659,1068.769,581.76,1.364,0.196,7.96,19.139
"Late Season","Acidic","Hydric","Acidic Hydric",1,"Organic",35.256,5,73.59,78.6,35.31,2.03,20.36,6.709,60.831,10.985,1.748,1.803,0.452,7.434,5.001,1294.648,102.406,1357.227,122.628,16.97,3.429,31.597,1589.703,109.848,1.74533333333333,0.946666666666667,9.839,19.066
"Late Season","Acidic","Hydric","Acidic Hydric",2,"Organic",66.19,5.7,42.29,67.07,23.26,1.59,16.99,10.354,26.531,10.85,1.153,1.2,0.811,17.509,2.499,709.078,72.808,736.762,102.367,40.497,3.45,22.096,1223.649,384.52,2.789,0.317,4.54,14.45
