DataType,FileName,ExcelColumnNumber,ExcelColumnHeaders,RColumnHeaders,Description,Units,Significant Figures,Protocol,Notes
Soil P Fractionation,PhIr2021_PfracSummary,A,Batch,Batch,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,B,Project,Project,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,C,Sample Date,SoilSampleDate,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,D,Area,Area,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,E,Site,SiteName,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,F,Plot,PlotNumber,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,G,Rep,SampleRep,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,H,Horizon,Horizon,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,I,Sample Name,SampleName,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,J,SedWetWeight,Soil.ww,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,K,Seddw.ww,Soil.dwww,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,L,SedDryWeight,Soil.dw,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,M,H2O~SRP (ugP/gdw),PfracH2OSRP,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,N,H2O~TP (ugP/g dw),PfracH2OTP,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,O,H2O~DNRP (ugP/gdw),PfracH2ONRP,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,P,H2O~Fe (mg Fe/g dw),PfracH2OFe,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,Q,H2O~Ca (mg Ca/g dw),PfracH2OCa,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,R,BD~SRP (ugP/gdw),PfracBDSRP,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,S,BD~TP (ugP/gdw),PfracBDTP,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,T,BD~NRP (ugP/gdw),PfracBDNRP,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,U,BD~Fe (mg Fe/gdw),PfracBDFe,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,V,BD~Al (mg Al/gdw),PfracBDAl,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,W,BD~Ca (mg Ca/gdw),PfracBDCa,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,X,NaOH~SRP (ug/gdw),PfracNaOHSRP,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,Y,NaOH~TP (ugP/gdw),PfracNaOHTP,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,Z,NaOH~DNRP (ugP/gdw),PfracNaOHNRP,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,AA,NaOH~Fe (mg Fe/gdw),PfracNaOHFe,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,AB,NaOH~Al (mg Al/gdw),PfracNaOHAl,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,AC,NaOH~Ca (mg Ca/gdw),PfracNaOHCa,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,AD,HA~P (ug P/gdw),PfracHAP,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,AE,HA~Fe (mg Fe/gdw),PfracHAFe,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,AF,HCl~P (ug P/gdw),PfracHClP,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,AG,HCl~Fe (mg Fe/gdw),PfracHClFe,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,AH,HCl~Al (mg Al/gdw),PfracHClAl,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,AI,HCl~Ca (mg Ca/gdw),PfracHClCa,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,AJ,Res~P (ug P/gdw),PfracTotP,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,AK,Res~Fe (mg Fe/gdw),PfracTotFe,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,AL,Res~Al (mg Al/gdw),PfracTotAl,,,,,
Soil P Fractionation,PhIr2021_PfracSummary,AM,Res~Ca (mg Ca/gdw),PfracTotCa,,,,,
