Sample ID,Sample Date,Area,SiteName,PlotNumber,Horizon,Rep,N Average,C Average,CN ratio
E-D1 2-Jul-21,2-Jul-21,East,Dry,1,Organic,,1.76,31.61,20.95905578
E-M1 2-Jul-21,2-Jul-21,East,Mesic,1,Organic,,1.68,40.61,28.18964907
W-M1- 5-Jul-21,5-Jul-21,West,Mesic,1,Organic,,2.68,36.77,20.65484748
19-Jul E-H1A,19-Jul-21,East,Hydric,1,Organic,A,1.86,34.37,21.62014096
19-Jul E-H1B,19-Jul-21,East,Hydric,1,Organic,B,1.97,34.18,20.24571838
19-Jul E-H1C,19-Jul-21,East,Hydric,1,Organic,C,1.89,36.21,22.39207017
19-Jul E-H2A,19-Jul-21,East,Hydric,2,Organic,A,1.53,23.72,18.07705117
19-Jul E-H2B,19-Jul-21,East,Hydric,2,Organic,B,1.71,23.59,16.13378196
19-Jul E-H2C,19-Jul-21,East,Hydric,2,Organic,C,1.62,24.73,17.83045188
19-Jul E-H3A,19-Jul-21,East,Hydric,3,Organic,A,1.54,26.26,19.85263383
19-Jul E-H3B,19-Jul-21,East,Hydric,3,Organic,B,1.59,24.69,18.16768644
19-Jul E-H3C,19-Jul-21,East,Hydric,3,Organic,C,1.52,24.61,18.92696602
5-Aug W-H1A,5-Aug-21,West,Hydric,1,Organic,A,2.81,38.29,15.89721486
5-Aug W-H1B,5-Aug-21,West,Hydric,1,Organic,B,2.7,38.11,16.4455496
5-Aug W-H1C,5-Aug-21,West,Hydric,1,Organic,C,2.62,37.49,16.69464072
5-Aug W-H2A,5-Aug-21,West,Hydric,2,Organic,A,2.26,41.11,21.22043535
5-Aug W-H2B,5-Aug-21,West,Hydric,2,Organic,B,2.29,43.06,21.93159598
5-Aug W-H2C,5-Aug-21,West,Hydric,2,Organic,C,2.41,39.26,19.03836761
5-Aug W-H3A,5-Aug-21,West,Hydric,3,Organic,A,2.51,39.53,18.40336878
5-Aug W-H3C,5-Aug-21,West,Hydric,3,Organic,C,2.11,32.48,17.94094158
2-Jul E-D1,2-Jul-21,East,Dry,1,Organic,,1.74,32.25,21.61102281
2-Jul E-D2A,2-Jul-21,East,Dry,2,Organic,A,1.57,28.9,21.53677739
2-Jul E-D2B,2-Jul-21,East,Dry,2,Organic,B,1.57,32.09,23.91745028
2-Jul E-D3,2-Jul-21,East,Dry,3,Organic,,1.42,25.48,20.99472394
2-Jul E-M1,2-Jul-21,East,Mesic,1,Organic,,1.74,43.65,29.33852531
2-Jul E-M2,2-Jul-21,East,Mesic,2,Organic,,1.46,40.03,32.07903925
2-Aug 21 E-D3B-M,2-Aug-21,East,Dry,3,Mineral,B,0.21,0.94,5.220048289
2-Aug 21 E-D3C-M,2-Aug-21,East,Dry,3,Mineral,C,0.26,1.42,6.351521522
2-Aug 21 E-M1A-M,2-Aug-21,East,Mesic,1,Mineral,A,0.27,1.4,6.215744734
2-Aug 21 E-M1B-M,2-Aug-21,East,Mesic,1,Mineral,B,0.24,1.8,8.722062068
2-Aug 21 E-M1C-M,2-Aug-21,East,Mesic,1,Mineral,C,0.25,1.17,5.490064663
2-Aug 21 E-M2-M,2-Aug-21,East,Mesic,2,Mineral,,0.31,2.6,9.945353123
2-Aug 21 E-H2-M,2-Aug-21,East,Mesic,2,Mineral,,0.54,9.35,20.1814101
2-Aug 21 E-H3-M,2-Aug-21,East,Mesic,3,Mineral,,0.44,7.4,19.84141094
5-Aug 21 W-M3-M,5-Aug-21,East,Mesic,3,Mineral,,0.28,1.99,8.419333204
5-Jul-21 W-D1-B,5-Jul-21,West,Dry,1,Organic,,1.17,21.6,21.61935388
5-Jul-21 W-D1-C,5-Jul-21,West,Dry,1,Organic,,1.16,23.28,23.47092387
5-Jul-21 W-D2,5-Jul-21,West,Dry,2,Organic,,1.6,28.88,21.10352839
5-Jul-21 W-D3,5-Jul-21,West,Dry,3,Organic,,1.35,26.6,22.97627418
5-Jul-21 W-M1,5-Jul-21,West,Mesic,1,Organic,,1.77,41.23,27.24552424
5-Jul-21 W-M2,5-Jul-21,West,Mesic,2,Organic,,1.14,45.39,46.63334399
5-Jul-21 W-M3,5-Jul-21,West,Mesic,3,Organic,,2.08,40.93,22.9454731
5-Jul-21 W-H1,5-Jul-21,West,Mesic,1,Organic,,2.32,38.39,19.29526558
5-Jul-21 W-H2,5-Jul-21,West,Mesic,2,Organic,,2.64,39.6,17.53641193
5-Jul-21 W-H3,5-Jul-21,West,Mesic,3,Organic,,2.57,39.83,18.10715361
22-Jul-21 W-D1,22-Jul-21,West,Dry,1,Organic,,1.34,22.49,19.64525638
22-Jul-21 W-D2,22-Jul-21,West,Dry,2,Organic,,1.3,41.72,37.56886033
22-Jul-21 W-D3,22-Jul-21,West,Dry,3,Organic,,1.46,23.92,19.11759278
22-Jul-21 W-M1,22-Jul-21,West,Mesic,1,Organic,,2.05,40.63,23.11606028
22-Jul-21 W-M2,22-Jul-21,West,Mesic,2,Organic,,2.15,36.6,19.85240169
22-Jul-21 W-M3,22-Jul-21,West,Mesic,3,Organic,,2.24,40.95,21.32936677
22-Jul-21 W-H1,22-Jul-21,West,Hydric,1,Organic,,2.66,39.75,17.46003799
22-Jul-21 W-H2,22-Jul-21,West,Hydric,2,Organic,,2.36,34.91,17.28721709
22-Jul-21 W-H3A,22-Jul-21,West,Hydric,3,Organic,A,2.72,40.71,17.48787346
22-Jul-21 W-H3B,22-Jul-21,West,Hydric,3,Organic,B,2.66,40.4,17.71010381
22-Jul-21 W-H3C,22-Jul-21,West,Hydric,3,Organic,C,2.34,36.1,18.02986155
5-Aug-21 W-M3-M,5-Aug-21,West,Mesic,3,Mineral,,0.31,2.27,8.706772698
19-Jul-21 E-M2,19-Jul-21,East,Mesic,2,Organic,,0.84,15.27,21.16220955
5-Aug-21 W-H2A,5-Aug-21,West,Hydric,2,Organic,A,2.4,38.54,18.73265315
19-Aug-21 E-H1B,19-Jul-21,East,Hydric,1,Organic,B,2.04,35.26,20.21214206
2-Jul E-M3,2-Jul-21,East,Mesic,3,Organic,,1.26,35.82,33.1316242
2-Jul E-H1,2-Jul-21,East,Hydric,1,Organic,,1.56,40.375,30.18923211
2-Jul E-H2,2-Jul-21,East,Hydric,2,Organic,,1.8,30.06,19.53360416
19-Jul E-D1A,19-Jul-21,East,Dry,1,Organic,A,1.75,31.1,20.7412532
19-Jul E-D1B,19-Jul-21,East,Dry,1,Organic,B,1.65,28.03,19.80944169
19-Jul E-D1C,19-Jul-21,East,Dry,1,Organic,C,1.79,31.94,20.80774102
19-Jul E-D2,19-Jul-21,East,Dry,2,Organic,,1.17,40.025,39.89672653
19-Jul E-D3,19-Jul-21,East,Dry,3,Organic,,1.12,24.86,25.90320978
19-Jul E-M1,19-Jul-21,East,Mesic,1,Organic,,1.32,44.335,39.1713458
19-Jul E-M3A,19-Jul-21,East,Mesic,3,Organic,A,0.88,41.72,55.31223607
22-Jul W-H3C,22-Jul-21,West,Dry,3,Organic,C,2.29,37.33,19.00957313
2-Aug E-D1A,2-Aug-21,East,Dry,1,Organic,,1.71,32.265,22.00399415
2-Aug E-D1B,2-Aug-21,East,Dry,1,Organic,,1.69,33.54,23.22506169
2-Aug E-D1C,2-Aug-21,East,Dry,1,Organic,,1.59,31.245,22.9094336
2-Aug E-D2,2-Aug-21,East,Dry,2,Organic,,1.515,25.49,19.62079718
2-Aug E-D3,2-Aug-21,East,Dry,3,Organic,,1.215,23.875,22.91563046
2-Aug E-M1-O,2-Aug-21,East,Mesic,1,Organic,,0.65,44.78,80.34860096
2-Aug E-M2-O,2-Aug-21,East,Mesic,2,Organic,,1.635,37.695,26.88746235
2-Aug E-M3,2-Aug-21,East,Mesic,3,Organic,,1.355,27.265,23.46983755
