Batch,Project,Sample Date,Area,Site,Plot,Rep,Horizon,SedID,SoilWetWeight,Soildw.ww,SoilDryWeight,PP~Fe (mg Fe/g dw),PP~Al (mg Fe/g dw),HH~Fe (mg Fe/gdw),HH~Al (mg Al/gdw),DH~Al (mg Al/gdw),DH~Fe (mg Fe/gdw),Res~Fe (mg Fe/gdw),Res~Al (mg Al/gdw)
20211215_Fefrac,PhIr2021,19-Jul-21,East,Hydric,1,A,Organic,19-Jul-21 East Hydric 1A-O,1.800,0.246,0.442,19.647,3.417,0.736,0.145,0.107,1.799,36.616,17.000
20211215_Fefrac,PhIr2021,19-Jul-21,East,Hydric,1,B,Organic,19-Jul-21 East Hydric 1B-O,1.964,0.241,0.474,19.444,3.001,0.711,0.165,0.136,2.128,41.179,13.376
20211215_Fefrac,PhIr2021,19-Jul-21,East,Hydric,1,C,Organic,19-Jul-21 East Hydric 1C-O,2.181,0.247,0.539,35.472,4.077,0.942,0.157,0.172,3.012,48.554,11.097
20211215_Fefrac,PhIr2021,19-Jul-21,East,Hydric,2,A,Organic,19-Jul-21 East Hydric 2A-O,3.787,0.290,1.100,33.744,3.808,0.115,0.014,0.089,1.353,76.498,29.126
20211215_Fefrac,PhIr2021,19-Jul-21,East,Hydric,2,B,Organic,19-Jul-21 East Hydric 2B-O,3.479,0.297,1.034,31.144,3.854,0.078,0.014,0.076,0.823,105.289,29.186
20211215_Fefrac,PhIr2021,19-Jul-21,East,Hydric,2,C,Organic,19-Jul-21 East Hydric 2C-O,2.783,0.277,0.770,59.298,4.666,0.199,0.016,0.113,2.967,82.688,24.299
20211215_Fefrac,PhIr2021,19-Jul-21,East,Hydric,3,A,Organic,19-Jul-21 East Hydric 3A-O,2.273,0.266,0.604,11.939,2.455,0.265,0.116,0.161,2.147,41.641,29.925
20211215_Fefrac,PhIr2021,19-Jul-21,East,Hydric,3,B,Organic,19-Jul-21 East Hydric 3B-O,3.406,0.250,0.850,14.528,3.659,0.072,0.036,0.209,1.585,56.514,31.198
20211215_Fefrac,PhIr2021,19-Jul-21,East,Hydric,3,C,Organic,19-Jul-21 East Hydric 3C-O,2.864,0.257,0.737,22.619,3.191,NA,NA,0.143,2.047,58.563,30.974
20211215_Fefrac,PhIr2021,5-Aug-21,West,Hydric,1,A,Organic,5-Aug-21 West Hydric 1A-O,3.400,0.195,0.663,0.154,1.098,0.229,0.382,0.131,0.149,3.564,7.879
20211215_Fefrac,PhIr2021,5-Aug-21,West,Hydric,1,B,Organic,5-Aug-21 West Hydric 1B-O,4.160,0.192,0.797,0.549,1.158,0.395,0.292,0.139,0.273,4.620,9.268
20211215_Fefrac,PhIr2021,5-Aug-21,West,Hydric,1,C,Organic,5-Aug-21 West Hydric 1C-O,4.330,0.200,0.866,0.822,1.180,0.670,0.380,0.172,0.316,6.391,7.910
20211215_Fefrac,PhIr2021,5-Aug-21,West,Hydric,2,A,Organic,5-Aug-21 West Hydric 2A-O,2.750,0.149,0.408,9.206,0.924,0.962,0.099,0.043,2.373,11.737,6.145
20211215_Fefrac,PhIr2021,5-Aug-21,West,Hydric,2,B,Organic,5-Aug-21 West Hydric 2B-O,3.180,0.148,0.471,2.530,0.698,0.799,0.098,0.074,1.115,8.385,4.850
20211215_Fefrac,PhIr2021,5-Aug-21,West,Hydric,2,C,Organic,5-Aug-21 West Hydric 2C-O,3.150,0.159,0.500,2.181,0.416,0.617,0.089,0.073,1.119,30.656,6.153
20211215_Fefrac,PhIr2021,5-Aug-21,West,Hydric,3,A,Organic,5-Aug-21 West Hydric 3A-O,4.850,0.144,0.701,1.963,0.523,0.782,0.125,0.066,0.637,8.404,8.065
20211215_Fefrac,PhIr2021,5-Aug-21,West,Hydric,3,B,Organic,5-Aug-21 West Hydric 3B-O,4.350,0.157,0.681,6.960,0.324,0.215,0.004,0.011,0.461,18.163,7.568
20211215_Fefrac,PhIr2021,5-Aug-21,West,Hydric,3,C,Organic,5-Aug-21 West Hydric 3C-O,3.860,0.152,0.586,4.335,0.387,NA,NA,0.040,1.019,35.167,7.730
20220110_Fefrac,PhIr2021,2-Jul-21,East,Dry,1,,Organic,2-Jul-21 East Dry 1-O,2.920,0.269,0.785,11.519,7.393,0.315,0.342,0.307,1.091,29.141,36.333
20220110_Fefrac,PhIr2021,2-Jul-21,East,Dry,2,,Organic,2-Jul-21 East Dry 2-O,3.470,0.241,0.837,17.889,3.357,0.320,0.120,0.158,1.157,30.220,24.662
20220110_Fefrac,PhIr2021,2-Jul-21,East,Dry,3,,Organic,2-Jul-21 East Dry 3-O,3.300,0.305,1.007,12.389,3.493,0.423,0.140,0.124,1.320,14.736,23.607
20220110_Fefrac,PhIr2021,2-Jul-21,East,Mesic,1,,Organic,2-Jul-21 East Mesic 1-O,2.440,0.207,0.505,3.059,1.446,0.287,0.161,0.105,0.942,9.636,15.265
20220110_Fefrac,PhIr2021,2-Jul-21,East,Mesic,2,,Organic,2-Jul-21 East Mesic 2-O,3.300,0.214,0.706,1.335,0.580,0.361,0.142,0.074,0.509,6.047,6.112
20220110_Fefrac,PhIr2021,2-Jul-21,East,Mesic,3,,Organic,2-Jul-21 East Mesic 3-O,3.170,0.236,0.748,8.523,2.501,0.191,0.128,0.226,1.793,13.941,17.640
20220110_Fefrac,PhIr2021,2-Jul-21,East,Hydric,1,,Organic,2-Jul-21 East Hydric 1-O,3.190,0.173,0.552,29.112,2.830,0.228,0.061,0.111,2.636,25.807,8.386
20220110_Fefrac,PhIr2021,2-Jul-21,East,Hydric,2,,Organic,2-Jul-21 East Hydric 2-O,3.140,0.197,0.619,13.524,1.814,0.218,0.073,0.102,3.128,42.767,20.349
20220110_Fefrac,PhIr2021,2-Jul-21,East,Hydric,3,,Organic,2-Jul-21 East Hydric 3-O,3.040,0.222,0.675,21.332,3.489,0.079,0.016,0.100,2.127,41.669,20.499
