Sed ID,Sample Name,collection date,Area,Site,Plot,Rep,Horizon,Weight of empty Al tin (g),Weight of tin + pre-ash soil (g),pre-ash soil (g),Weight of tin + post-ash soil (g),post-ash soil (g),LOI,vial #,soil wt (g)
,19-Jul-21 East Hydric 1A-O,19-Jul-21,East,Hydric,1,A,O,2.1883,3.186,0.9977,2.4653,0.277,72.23614313,747,0.2591
,19-Jul-21 East Hydric 1B-O,19-Jul-21,East,Hydric,1,B,O,2.1922,3.1879,0.9957,2.4288,0.2366,76.23782264,748,0.2255
,19-Jul-21 East Hydric 1C-O,19-Jul-21,East,Hydric,1,C,O,2.2215,3.1984,0.9769,2.4482,0.2267,76.79394001,749,0.2104
,19-Jul-21 East Hydric 2A-O,19-Jul-21,East,Hydric,2,A,O,2.1787,3.1857,1.007,2.6823,0.5036,49.99006951,750,0.4877
,19-Jul-21 East Hydric 2B-O,19-Jul-21,East,Hydric,2,B,O,2.2057,3.199,0.9933,2.6963,0.4906,50.60908084,751,0.4729
,19-Jul-21 East Hydric 2C-O,19-Jul-21,East,Hydric,2,C,O,2.1651,3.1705,1.0054,2.6133,0.4482,55.42072807,752,0.431
,19-Jul-21 East Hydric 3A-O,19-Jul-21,East,Hydric,3,A,O,2.159,3.1661,1.0071,2.6057,0.4467,55.64492106,753,0.4044
,19-Jul-21 East Hydric 3B-O,19-Jul-21,East,Hydric,3,B,O,2.1613,3.1626,1.0013,2.6247,0.4634,53.72016379,754,0.451
,19-Jul-21 East Hydric 3C-O,19-Jul-21,East,Hydric,3,C,O,2.191,3.1888,0.9978,2.6269,0.4359,56.31389056,755,0.4187
,5-Aug-21 West Hydric 1A-O,5-Aug-21,West,Hydric,1,A,O,2.2428,3.1963,0.9535,2.4593,0.2165,77.29417934,756,0.2065
,5-Aug-21 West Hydric 1B-O,5-Aug-21,West,Hydric,1,B,O,2.1971,3.192,0.9949,2.4249,0.2278,77.10322645,757,0.232
,5-Aug-21 West Hydric 1C-O,5-Aug-21,West,Hydric,1,C,O,2.163,3.1696,1.0066,2.3882,0.2252,77.62765746,758,0.2103
,5-Aug-21 West Hydric 2A-O,5-Aug-21,West,Hydric,2,A,O,2.1821,3.1811,0.999,2.3687,0.1866,81.32132132,759,0.1766
,5-Aug-21 West Hydric 2B-O,5-Aug-21,West,Hydric,2,B,O,2.2072,3.2044,0.9972,2.3599,0.1527,84.68712395,793,0.1357
,5-Aug-21 West Hydric 2C-O,5-Aug-21,West,Hydric,2,C,O,2.1561,3.1432,0.9871,2.3635,0.2074,78.98895755,813,0.19
,5-Aug-21 West Hydric 3A-O,5-Aug-21,West,Hydric,3,A,O,2.1656,3.1639,0.9983,2.3845,0.2189,78.07272363,816,0.2116
,5-Aug-21 West Hydric 3B-O,5-Aug-21,West,Hydric,3,B,O,2.1624,3.1649,1.0025,2.4216,0.2592,74.1446384,818,0.2962
,5-Aug-21 West Hydric 3C-O,5-Aug-21,West,Hydric,3,C,O,2.1823,3.1891,1.0068,2.4704,0.2881,71.38458482,819,0.261
,2-Jul-21 East Dry  1-O,2-Jul-21,East,Dry,1,,O,2.2027,3.3098,1.1071,2.6183,0.4156,62.46048234,40L,0.3921
,2-Jul-21 East Dry  2A-O,2-Jul-21,East,Dry,2,A,O,2.186,3.2797,1.0937,2.6065,0.4205,61.55252812,33L,0.4051
,2-Jul-21 East Dry  2B-O,2-Jul-21,East,Dry,2,B,O,2.1723,3.1809,1.0086,2.4822,0.3099,69.27424152,42L,0.2946
,2-Jul-21 East Dry  3-O,2-Jul-21,East,Dry,3,,O,2.2402,3.3184,1.0782,2.7731,0.5329,50.57503246,37L,0.5143
,2-Jul-21 East Mesic 1-O,2-Jul-21,East,Mesic,1,,O,2.2059,3.0467,0.8408,2.401,0.1951,76.79590866,49L,0.1848
,2-Jul-21 East Mesic 2-O,2-Jul-21,East,Mesic,2,,O,2.187,3.2982,1.1112,2.4031,0.2161,80.5525558,43L,0.2063
,2-Jul-21 East Mesic 3-O,2-Jul-21,East,Mesic,3,,O,2.1787,3.1982,1.0195,2.5035,0.3248,68.14124571,44L,0.3093
,2-Jul-21 East Hydric 1-O,2-Jul-21,East,Hydric,1,,O,2.2001,3.2492,1.0491,2.3793,0.1792,82.91869221,50L,0.173
,2-Jul-21 East Hydric 2-O,2-Jul-21,East,Hydric,2,,O,2.161,3.2246,1.0636,2.5662,0.4052,61.90297104,38L,0.398
,2-Jul-21 East Hydric 3-O,2-Jul-21,East,Hydric,3,,O,2.1547,3.2162,1.0615,2.5614,0.4067,61.68629298,46L,0.3975
,5-Jul-21 West Dry  1A-O,5-Jul-21,West,Dry,1,A,O,2.1958,2.9963,0.8005,2.398,0.2022,74.74078701,58L,0.1967
,5-Jul-21 West Dry  1B-O,5-Jul-21,West,Dry,1,B,O,2.168,3.2143,1.0463,2.6683,0.5003,52.18388607,53L,0.4913
,5-Jul-21 West Dry  1C-O,5-Jul-21,West,Dry,1,C,O,2.1715,3.2097,1.0382,2.6707,0.4992,51.91677904,52L,0.4882
,5-Jul-21 West Dry  2-O,5-Jul-21,West,Dry,2,,O,2.2135,3.2571,1.0436,2.6105,0.397,61.95860483,60L,0.3869
,5-Jul-21 West Dry  3-O,5-Jul-21,West,Dry,3,,O,2.1735,3.2214,1.0479,2.5704,0.3969,62.1242485,61L,0.3921
,5-Jul-21 West Mesic 1-O,5-Jul-21,West,Mesic,1,,O,1,2.0289,1.0289,1.1577,0.1577,84.6729517,141L,0.1489
