Project,Sample Date,Area,Site,Plot,Replicate,Horizon,SampleName,PSI
PhIr2021,2-Jul-21,East,Dry,1,,Organic,2-Jul-21 East Dry 1,44.26
PhIr2021,2-Jul-21,East,Dry,2,,Organic,2-Jul-21 East Dry 2,50.529
PhIr2021,2-Jul-21,East,Dry,3,,Organic,2-Jul-21 East Dry 3,32.524
PhIr2021,2-Jul-21,East,Mesic,1,A,Organic,2-Jul-21 East Mesic 1,51.141
PhIr2021,2-Jul-21,East,Mesic,1,B,Organic,2-Jul-21 East Mesic 1,54.341
PhIr2021,2-Jul-21,East,Mesic,1,C,Organic,2-Jul-21 East Mesic 1,54.561
PhIr2021,2-Jul-21,East,Mesic,2,,Organic,2-Jul-21 East Mesic 2,78.846
PhIr2021,2-Jul-21,East,Mesic,3,,Organic,2-Jul-21 East Mesic 3,55.922
PhIr2021,2-Jul-21,East,Hydric,1,A,Organic,2-Jul-21 East Hydric 1,95.157
PhIr2021,2-Jul-21,East,Hydric,1,B,Organic,2-Jul-21 East Hydric 1,98.889
PhIr2021,2-Jul-21,East,Hydric,1,C,Organic,2-Jul-21 East Hydric 1,96.19
PhIr2021,2-Jul-21,East,Hydric,2,,Organic,2-Jul-21 East Hydric 2,138.63
PhIr2021,2-Jul-21,East,Hydric,3,,Organic,2-Jul-21 East Hydric 3,97.459
PhIr2021,5-Jul-21,West,Dry,1,,Organic,5-Jul-21 West Dry 1,46.277
PhIr2021,5-Jul-21,West,Dry,2,,Organic,5-Jul-21 West Dry 2,26.317
PhIr2021,5-Jul-21,West,Dry,3,,Organic,5-Jul-21 West Dry 3,40.13
PhIr2021,5-Jul-21,West,Mesic,1,,Organic,5-Jul-21 West Mesic 1,57.057
PhIr2021,5-Jul-21,West,Mesic,2,,Organic,5-Jul-21 West Mesic 2,47.248
PhIr2021,5-Jul-21,West,Mesic,3,A,Organic,5-Jul-21 West Mesic 3,56.834
PhIr2021,5-Jul-21,West,Mesic,3,B,Organic,5-Jul-21 West Mesic 3,127.528
PhIr2021,5-Jul-21,West,Mesic,3,C,Organic,5-Jul-21 West Mesic 3,53.298
PhIr2021,5-Jul-21,West,Hydric,1,,Organic,5-Jul-21 West Hydric 1,77.434
PhIr2021,5-Jul-21,West,Hydric,2,A,Organic,5-Jul-21 West Hydric 2,78.186
PhIr2021,5-Jul-21,West,Hydric,2,B,Organic,5-Jul-21 West Hydric 2,61.158
PhIr2021,5-Jul-21,West,Hydric,2,C,Organic,5-Jul-21 West Hydric 2,84.25
PhIr2021,5-Jul-21,West,Hydric,3,,Organic,5-Jul-21 West Hydric 3,109.422
PhIr2021,5-Jul-21,West,,,,,5-Jul-21 West Blank,
PhIr2021,19-Jul-21,East,Dry,1,,Organic,19-Jul-21 East Dry 1,48.203
PhIr2021,19-Jul-21,East,Dry,2,,Organic,19-Jul-21 East Dry 2,65.7
PhIr2021,19-Jul-21,East,Dry,3,A,Organic,19-Jul-21 East Dry 3,35.293
PhIr2021,19-Jul-21,East,Dry,3,B,Organic,19-Jul-21 East Dry 3,27.33
PhIr2021,19-Jul-21,East,Dry,3,C,Organic,19-Jul-21 East Dry 3,27.478
PhIr2021,19-Jul-21,East,Mesic,1,,Organic,19-Jul-21 East Mesic 1,48.658
PhIr2021,19-Jul-21,East,Mesic,2,,Organic,19-Jul-21 East Mesic 2,22.193
PhIr2021,19-Jul-21,East,Mesic,3,,Organic,19-Jul-21 East Mesic 3,14.71
PhIr2021,19-Jul-21,East,Hydric,1,,Organic,19-Jul-21 East Hydric 1,90.268
PhIr2021,19-Jul-21,East,Hydric,2,,Organic,19-Jul-21 East Hydric 2,108.508
PhIr2021,19-Jul-21,East,Hydric,3,A,Organic,19-Jul-21 East Hydric 3,80.861
PhIr2021,19-Jul-21,East,Hydric,3,B,Organic,19-Jul-21 East Hydric 3,90.891
PhIr2021,19-Jul-21,East,Hydric,3,C,Organic,19-Jul-21 East Hydric 3,98.108
PhIr2021,19-Jul-21,East,,,,,19-Jul-21 East Blank,
PhIr2021,22-Jul-21,West,Dry,1,,Organic,22-Jul-21 West Dry 1,71.094
PhIr2021,22-Jul-21,West,Dry,2,,Organic,22-Jul-21 West Dry 2,52.903
PhIr2021,22-Jul-21,West,Dry,3,,Organic,22-Jul-21 West Dry 3,30.519
PhIr2021,22-Jul-21,West,Mesic,1,A,Organic,22-Jul-21 West Mesic 1,144.095
