Batch,Project,Sample Date,Area,Site,Plot,Rep,Horizon,Sample Name,SedWetWeight,Seddw.ww,SedDryWeight,H2O~SRP (ugP/gdw),H2O~TP (ugP/g dw),H2O~DNRP (ugP/gdw),H2O~Fe (mg Fe/g dw),H2O~Ca (mg Ca/g dw),BD~SRP (ugP/gdw),BD~TP (ugP/gdw),BD~NRP (ugP/gdw),BD~Fe (mg Fe/gdw),BD~Al (mg Al/gdw),BD~Ca (mg Ca/gdw),NaOH~SRP (ug/gdw),NaOH~TP (ugP/gdw),NaOH~DNRP (ugP/gdw),NaOH~Fe (mg Fe/gdw),NaOH~Al (mg Al/gdw),NaOH~Ca (mg Ca/gdw),HA~P (ug P/gdw),HA~Fe (mg Fe/gdw),HCl~P (ug P/gdw),HCl~Fe (mg Fe/gdw),HCl~Al (mg Al/gdw),HCl~Ca (mg Ca/gdw),Res~P (ug P/gdw),Res~Fe (mg Fe/gdw),Res~Al (mg Al/gdw),Res~Ca (mg Ca/gdw)
20211108_Pfrac,PhIr2021,19-Jul-21,East,Hydric,1,A,Organic,19-Jul-21 East Hydric 1A-O,2.942,0.246,0.722,1.076,3.461,2.385,0.048,0.057,31.673,177.304,145.631,18.566,0.504,1.017,78.721,816.321,737.600,1.715,2.719,0.397,175.434,0.724,10.252,5.220,0.714,0.342,1537.637,36.616,17.000,2.354
20211108_Pfrac,PhIr2021,19-Jul-21,East,Hydric,1,B,Organic,19-Jul-21 East Hydric 1B-O,2.244,0.241,0.541,1.787,4.619,2.832,0.066,0.081,42.891,290.605,247.714,16.850,0.555,1.553,70.548,708.615,638.067,1.563,2.419,0.364,102.587,0.563,4.685,4.967,0.408,0.386,1490.766,41.179,13.376,2.111
20211108_Pfrac,PhIr2021,19-Jul-21,East,Hydric,1,C,Organic,19-Jul-21 East Hydric 1C-O,2.561,0.247,0.632,1.437,3.953,2.516,0.064,0.080,49.529,235.420,185.891,18.649,0.605,1.479,75.863,713.717,637.854,1.197,1.989,0.308,167.871,0.797,5.677,7.524,0.435,0.388,1426.974,48.554,11.097,2.062
20211108_Pfrac,PhIr2021,19-Jul-21,East,Hydric,2,A,Organic,19-Jul-21 East Hydric 2A-O,4.052,0.290,1.177,0.542,2.124,1.582,0.023,0.033,16.211,91.982,75.771,20.970,0.392,1.024,63.857,465.567,401.710,0.580,3.221,0.194,307.740,1.553,11.742,6.372,0.848,0.344,1102.933,76.498,29.126,2.353
20211108_Pfrac,PhIr2021,19-Jul-21,East,Hydric,2,B,Organic,19-Jul-21 East Hydric 2B-O,3.933,0.297,1.169,0.557,2.138,1.581,0.025,0.043,22.190,94.161,71.971,35.663,0.440,1.595,58.125,399.596,341.471,1.193,2.421,0.217,241.750,2.105,8.435,32.786,1.236,0.819,1486.519,105.289,29.186,2.130
20211108_Pfrac,PhIr2021,19-Jul-21,East,Hydric,2,C,Organic,19-Jul-21 East Hydric 2C-O,3.214,0.277,0.889,0.581,2.813,2.232,0.014,0.047,14.008,101.172,87.165,17.087,0.424,1.297,64.654,508.115,443.461,0.724,3.657,0.300,338.546,1.411,7.233,5.872,0.605,0.434,1226.397,82.688,24.299,2.992
20211108_Pfrac,PhIr2021,19-Jul-21,East,Hydric,3,A,Organic,19-Jul-21 East Hydric 3A-O,2.231,0.266,0.593,1.256,4.216,2.960,0.021,0.066,20.490,141.414,120.925,12.600,0.293,2.564,67.723,672.775,605.052,1.225,3.554,0.395,117.532,0.340,25.330,4.061,0.799,0.685,1034.628,41.641,29.925,4.124
20211108_Pfrac,PhIr2021,19-Jul-21,East,Hydric,3,B,Organic,19-Jul-21 East Hydric 3B-O,2.326,0.250,0.580,1.040,4.307,3.267,0.022,0.069,30.386,150.933,120.547,25.695,0.416,3.601,88.788,794.323,705.535,1.721,4.000,0.524,121.542,0.471,20.835,5.534,0.825,0.761,1166.786,56.514,31.198,4.788
20211108_Pfrac,PhIr2021,19-Jul-21,East,Hydric,3,C,Organic,19-Jul-21 East Hydric 3C-O,2.342,0.257,0.603,1.523,4.147,2.624,0.021,0.074,27.266,148.549,121.283,18.375,0.352,4.715,73.344,657.621,584.277,1.606,3.242,0.491,112.860,0.412,17.996,6.675,0.729,0.983,1206.871,58.563,30.974,5.343
20211108_Pfrac,PhIr2021,5-Aug-21,West,Hydric,1,A,Organic,5-Aug-21 West Hydric 1A-O,3.035,0.195,0.591,1.109,4.227,3.119,0.021,0.225,34.689,6.341,-28.348,1.200,0.032,16.053,39.115,367.381,328.266,0.740,1.097,1.797,23.371,0.076,33.775,0.607,0.153,1.977,606.247,3.564,7.879,11.910
