Date,Area,Site,Plot,Plot_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Average,Std.Dev.
18-Jun-2021,West,Dry,1,W-D1,20,22,25,18,17,17,18,7,22,17,20,13,20,26,18,19,5
18-Jun-2021,West,Dry,2,W-D2,22,18,19,20,20,15,20,22,20,20,15,25,25,18,15,20,3
18-Jun-2021,West,Dry,3,W-D3,12,22,25,11,20,18,17,18,20,12,20,15,17,15,22,18,4
18-Jun-2021,West,Mesic,1,W-M1,25,15,12,15,10,15,12,15,12,20,10,18,18,15,20,15,4
18-Jun-2021,West,Mesic,2,W-M2,15,30,18,28,5,15,25,18,25,15,18,25,15,15,15,19,7
18-Jun-2021,West,Mesic,3,W-M3,20,22,20,22,18,28,20,12,18,30,32,30,22,18,20,22,6
18-Jun-2021,West,Hydric,1,W-H1,20,20,20,21,22,20,30,22,15,20,20,20,18,20,25,21,3
18-Jun-2021,West,Hydric,2,W-H2,8,8,8,8,10,12,10,30,22,22,25,18,20,30,28,17,9
18-Jun-2021,West,Hydric,3,W-H3,20,25,25,20,20,25,25,18,15,18,20,23,25,20,20,21,3
19-Jun-2021,East,Dry,1,E-D1,21,19,19,9,29,11,15,16,14,12,9,8,7,45,13,16,10
19-Jun-2021,East,Dry,2,E-D2,35,17,12,26,14,11,13,10,11,14,12,19,14,49,29,19,11
19-Jun-2021,East,Dry,3,E-D3,11,6,7,17,11,21,31,11,19,19,26,21,23,12,32,18,8
19-Jun-2021,East,Mesic,1,E-M1,23,11,10,17,11,19,13,11,39,14,12,30,22,13,12,17,8
19-Jun-2021,East,Mesic,2,E-M2,18,31,23,28,22,11,14,12,12,10,11,30,19,11,15,18,7
19-Jun-2021,East,Mesic,3,E-M3,10,12,10,15,19,19,18,19,17,13,24,13,26,10,8,16,5
19-Jun-2021,East,Hydric,1,E-H1,13,11,12,8,14,11,7,15,16,17,19,11,16,11,13,13,3
19-Jun-2021,East,Hydric,2,E-H2,11,14,20,17,27,13,31,17,20,17,11,10,11,20,20,17,6
19-Jun-2021,East,Hydric,3,E-H3,12,18,10,11,10,13,7,9,9,12,12,6,13,16,10,11,3
24-Jun-2021,East,Dry,1,E-D1,13,10,11,2,21,15,50,15,30,12,10,35,32,41,8,20,14
24-Jun-2021,East,Dry,2,E-D2,19,28,11,15,15,27,12,19,23,29,14,17,15,16,46,20,9
24-Jun-2021,East,Dry,3,E-D3,22,51,12,29,22,9,29,12,13,38,15,14,26,13,20,22,12
24-Jun-2021,East,Mesic,1,E-M1,24,11,9,25,36,26,14,28,20,12,14,18,16,49,28,22,11
24-Jun-2021,East,Mesic,2,E-M2,28,39,18,17,13,17,30,20,12,21,11,22,15,39,19,21,9
24-Jun-2021,East,Mesic,3,E-M3,5,12,38,20,19,14,12,37,15,14,16,15,13,14,10,17,9
24-Jun-2021,East,Hydric,1,E-H1,24,15,10,13,15,16,10,20,16,16,7,8,10,5,12,13,5
24-Jun-2021,East,Hydric,2,E-H2,18,12,19,21,20,13,20,19,22,20,16,12,13,20,13,17,4
24-Jun-2021,East,Hydric,3,E-H3,12,10,9,15,11,10,12,11,14,12,12,15,10,11,15,12,2
26-Jun-2021,West,Dry,1,W-D1,16,15,15,19,12,22,19,31,20,14,17,11,20,15,19,18,5
26-Jun-2021,West,Dry,2,W-D2,17,17,16,15,18,16,20,12,19,16,17,18,9,27,16,17,4
26-Jun-2021,West,Dry,3,W-D3,21,20,20,21,16,16,20,26,19,23,22,18,24,15,14,20,3
26-Jun-2021,West,Mesic,1,W-M1,21,21,23,23,22,18,21,19,23,25,17,30,17,23,22,22,3
26-Jun-2021,West,Mesic,2,W-M2,20,40,19,22,20,31,36,25,22,22,22,17,31,22,20,25,7
26-Jun-2021,West,Mesic,3,W-M3,22,19,21,22,22,16,31,27,25,29,27,24,15,20,15,22,5
26-Jun-2021,West,Hydric,1,W-H1,24,27,38,35,29,32,37,18,25,32,38,30,30,29,28,30,6
26-Jun-2021,West,Hydric,2,W-H2,18,22,24,22,20,37,30,32,31,23,27,18,25,20,20,25,6
26-Jun-2021,West,Hydric,3,W-H3,12,22,28,25,20,22,28,25,22,20,23,19,32,27,20,23,5
1-Jul-2021,East,Dry,1,E-D1,7,16,7,26,35,22,23,13,22,12,11,20,24,23,8,18,8
1-Jul-2021,East,Dry,2,E-D2,15,13,18,8,14,18,12,12,20,15,10,12,30,29,30,17,7
